Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,22062026,1822890169,0003159
Trade Date <22-JUN-2026>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2292,RACLGEAR,EQ,41610,22549,54.19
20,2293,RADAAN,EQ,26795,20266,75.63
20,2294,RADHIKAJWE,EQ,103702,52005,50.15
20,2295,RADIANTCMS,EQ,146230,95676,65.43
20,2296,RADICO,EQ,331345,143465,43.30
20,2297,RADIOCITY,EQ,109512,105399,96.24
20,2298,RADIOWALLA,SM,4800,4800,100.00
20,2299,RAILTEL,EQ,864679,292833,33.87
20,2300,RAIN,EQ,3594498,1009957,28.10
20,2301,RAINBOW,EQ,126237,64262,50.91
20,2302,RAJINDLTD,SM,6000,4500,75.00
20,2303,RAJMET,EQ,290738,208345,71.66
20,2304,RAJOOENG,EQ,295900,161736,54.66
20,2305,RAJPALAYAM,EQ,1581,1112,70.34
20,2306,RAJPUTANA,SM,67500,47500,70.37
20,2307,RAJRATAN,EQ,102964,58788,57.10
20,2308,RAJSREESUG,EQ,19112,9072,47.47
20,2309,RAJTV,EQ,34096,26966,79.09
20,2310,RALLIS,EQ,1035040,578600,55.90
20,2311,RAMANEWS,EQ,19371,17187,88.73
20,2312,RAMAPHO,EQ,89769,52001,57.93
20,2313,RAMASTEEL,EQ,4596414,3132085,68.14
20,2314,RAMCOCEM,EQ,113082,51852,45.85
20,2315,RAMCOIND,EQ,546217,175915,32.21
20,2316,RAMCOSYS,EQ,125300,50774,40.52
20,2317,RAMKY,EQ,41527,25765,62.04
20,2318,RAMRAT,EQ,303387,139769,46.07
20,2319,RANASUG,EQ,123820,83912,67.77
20,2320,RANEHOLDIN,EQ,33956,16253,47.86
20,2321,RAPPID,SM,3000,2400,80.00
20,2322,RATEGAIN,EQ,165669,79967,48.27
20,2323,RATNAMANI,EQ,27012,10800,39.98
20,2324,RATNAVEER,EQ,979140,356163,36.38
20,2325,RAYMOND,EQ,622275,251231,40.37
20,2326,RAYMONDLSL,EQ,282823,175291,61.98
20,2327,RAYMONDREL,EQ,1934585,660684,34.15
20,2328,RBA,EQ,68732862,13284512,19.33
20,2329,RBLBANK,EQ,7167784,4059965,56.64
20,2330,RBMINFRA,SM,14800,10600,71.62
20,2331,RBS,ST,8000,6400,80.00
20,2332,RBZJEWEL,EQ,36497,22528,61.73
20,2333,RCDL,SM,21000,18000,85.71
20,2334,RCF,EQ,3885534,1100955,28.33
20,2335,RECLTD,EQ,9413420,4254529,45.20
20,2336,REDINGTON,EQ,3425042,986091,28.79
20,2337,REDTAPE,EQ,288731,155144,53.73
20,2338,REFEX,EQ,1519179,580009,38.18
20,2339,REFRACTORY,SM,1000,1000,100.00
20,2340,REGENCERAM,EQ,1919,1919,100.00
20,2341,RELAXO,EQ,57113,25646,44.90
20,2342,RELCHEMQ,EQ,5290,3656,69.11
20,2343,RELIABLE,EQ,21691,10048,46.32
20,2344,RELIANCE,EQ,12931213,5782937,44.72
20,2345,RELIGARE,EQ,2858402,1743963,61.01
20,2346,RELTD,EQ,2618725,616142,23.53
20,2347,REMSONSIND,EQ,241281,106452,44.12
20,2348,REMUS,SM,4500,3700,82.22
20,2349,RENUKA,EQ,2353785,1072537,45.57
20,2350,REPCOHOME,EQ,78508,50146,63.87
20,2351,REPRO,EQ,28148,13365,47.48
20,2352,RESPONIND,EQ,97005,52986,54.62
20,2353,RETAIL,EQ,13375,10005,74.80
20,2354,REXPRO,SM,10000,9000,90.00
20,2355,RFBL,SM,120000,99000,82.50
20,2356,RGL,EQ,553478,296403,53.55
20,2357,RHETAN,EQ,23398644,2861944,12.23
20,2358,RHIM,EQ,301646,149636,49.61
20,2359,RHL,EQ,14394,10915,75.83
20,2360,RICHA,ST,57000,57000,100.00
20,2361,RICOAUTO,EQ,8789762,2615606,29.76
20,2362,RIIL,EQ,131798,33550,25.46
20,2363,RIIT,IV,159931,116369,72.76
20,2364,RILINFRA,SM,66300,56600,85.37
20,2365,RISHABH,EQ,90056,45668,50.71
20,2366,RITCO,EQ,73772,45843,62.14
20,2367,RITES,EQ,484169,221010,45.65
20,2368,RITEZONE,ST,1600,1600,100.00
20,2369,RKDL,EQ,9511,4802,50.49
20,2370,RKEC,EQ,144142,96848,67.19
20,2371,RKFORGE,EQ,373704,279613,74.82
20,2372,RKSWAMY,EQ,32493,20000,61.55
20,2373,RMC,EQ,416924,100355,24.07
20,2374,RMDRIP,EQ,1138049,693077,60.90
20,2375,RML,EQ,243931,69541,28.51
20,2376,RNBDENIMS,EQ,266091,182680,68.65
20,2377,RNFI,SM,21600,14400,66.67
20,2378,ROCKINGDCE,SM,1000,1000,100.00
20,2379,ROHLTD,EQ,84308,35033,41.55
20,2380,ROLEXRINGS,EQ,1005510,499000,49.63
20,2381,ROML,EQ,12591,7593,60.30
20,2382,ROSSARI,EQ,379711,181216,47.72
20,2383,ROSSELLIND,EQ,25693,14803,57.61
20,2384,ROSSTECH,EQ,688916,343402,49.85
20,2385,ROTO,EQ,720472,301238,41.81
20,2386,ROUTE,EQ,86533,40034,46.26
20,2387,ROXHITECH,ST,14400,14400,100.00
20,2388,RPEL,EQ,48576,20519,42.24
20,2389,RPGLIFE,EQ,6084,3464,56.94
20,2390,RPOWER,EQ,43961002,13531172,30.78
20,2391,RPPINFRA,EQ,252284,86727,34.38
20,2392,RPPL,EQ,338928,253768,74.87
20,2393,RPSGVENT,EQ,11256,7541,67.00
20,2394,RPTECH,EQ,2320936,508909,21.93
20,2395,RRIL,EQ,37295,30066,80.62
20,2396,RRKABEL,EQ,686792,331452,48.26
20,2397,RSDFIN,EQ,349,349,100.00
20,2398,RSL,EQ,169146,108101,63.91
20,2399,RSYSTEMS,EQ,523980,271081,51.73
20,2400,RTL,SM,6000,6000,100.00
20,2401,RTNINDIA,EQ,1740413,806674,46.35
20,2402,RTNPOWER,EQ,13390486,5362771,40.05
20,2403,RUBFILA,EQ,35092,24366,69.43
20,2404,RUBICON,EQ,299001,105697,35.35
20,2405,RUCHINFRA,EQ,47279,33849,71.59
20,2406,RUCHIRA,EQ,40005,27108,67.76
20,2407,RULKA,SM,4800,3900,81.25
20,2408,RUPA,EQ,144955,82755,57.09
20,2409,RUSHIL,EQ,785993,495139,63.00
20,2410,RUSTOMJEE,EQ,17673,9923,56.15
20,2411,RVHL,EQ,21858,7760,35.50
20,2412,RVNL,EQ,12856293,3065351,23.84
20,2413,RVTH,EQ,2157,1671,77.47
20,2414,S&SPOWER,EQ,2939,2044,69.55
20,2415,SAAKSHI,SM,16200,13800,85.19
20,2416,SAATVIKGL,EQ,86638,55050,63.54
20,2417,SABAR,SM,15000,15000,100.00
20,2418,SACHEEROME,SM,22500,15600,69.33
20,2419,SADBHAV,EQ,291820,208519,71.45
20,2420,SADHAV,SM,3600,2400,66.67
20,2421,SAFARI,EQ,78697,46292,58.82
20,2422,SAFEENTP,SM,46000,37000,80.43
20,2423,SAGARDEEP,EQ,11049,7851,71.06
20,2424,SAGCEM,EQ,45837,25003,54.55
20,2425,SAGILITY,EQ,22895801,11445251,49.99
20,2426,SAHAJSOLAR,SM,11200,8800,78.57
20,2427,SAHANA,SM,11000,7250,65.91
20,2428,SAHASRA,ST,44400,44400,100.00
20,2429,SAHLIBHFI,EQ,11966,8766,73.26
20,2430,SAHYADRI,EQ,4918,3217,65.41
20,2431,SAIFL,SM,664000,504000,75.90
20,2432,SAIL,EQ,26161924,11597791,44.33
20,2433,SAILIFE,EQ,499268,272556,54.59
20,2434,SAIPARENT,EQ,174420,112173,64.31
20,2435,SAJHOTELS,SM,220000,110000,50.00
20,2436,SAKAR,EQ,93652,50465,53.89
20,2437,SAKHTISUG,EQ,58540,40066,68.44
20,2438,SAKSOFT,EQ,158764,88508,55.75
20,2439,SALASAR,EQ,3907915,2832349,72.48
20,2440,SALONA,EQ,40,32,80.00
20,2441,SALZERELEC,EQ,87226,53689,61.55
20,2442,SAMAY,SM,24000,24000,100.00
20,2443,SAMBHAAV,EQ,225463,222606,98.73
20,2444,SAMBHV,EQ,1658747,624815,37.67
20,2445,SAMHI,EQ,3621887,1674739,46.24
20,2446,SAMMAANCAP,EQ,10179335,3636750,35.73
20,2447,SAMPANN,EQ,54399,25307,46.52
20,2448,SANATHAN,EQ,28693,17412,60.68
20,2449,SANDESH,EQ,1082,824,76.16
20,2450,SANDHAR,EQ,270347,140198,51.86
20,2451,SANDUMA,EQ,507741,215074,42.36
20,2452,SANGAMIND,EQ,29003,9960,34.34
20,2453,SANGANI,SM,6000,4500,75.00
20,2454,SANGHVIMOV,EQ,1159405,580037,50.03
20,2455,SANOFI,EQ,16040,8818,54.98
20,2456,SANOFICONR,EQ,5828,3571,61.27
20,2457,SANSERA,EQ,616782,321347,52.10
